Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
6258;Friedrichshafen-Unterraderach;RS_IND;12.01.2003-16:00;12.01.2003-17:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;12.01.2003-19:00;12.01.2003-20:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;12.01.2003-22:00;12.01.2003-23:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;13.01.2003-01:00;13.01.2003-02:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;13.01.2003-04:00;13.01.2003-05:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;28.01.2003-07:00;28.01.2003-09:00;2;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;12.03.2003-10:00;12.03.2003-11:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;WRTR;11.01.2003-15:00;11.01.2003-18:00;3;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;11.01.2003-20:00;13.01.2003-06:00;34;;eor;                                                                                                                      
6258;Friedrichshafen-Unterraderach;WRTR;14.01.2003-00:00;14.01.2003-04:00;4;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;22.01.2003-14:00;22.01.2003-15:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;23.01.2003-00:00;23.01.2003-01:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;23.01.2003-03:00;23.01.2003-06:00;3;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;24.01.2003-00:00;24.01.2003-04:00;4;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;26.01.2003-06:00;26.01.2003-09:00;3;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;27.01.2003-00:00;27.01.2003-04:00;4;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;28.01.2003-06:00;28.01.2003-09:00;3;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;28.01.2003-12:00;28.01.2003-13:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;28.01.2003-15:00;28.01.2003-16:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;28.01.2003-18:00;28.01.2003-19:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;29.01.2003-00:00;29.01.2003-03:00;3;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;29.01.2003-08:00;29.01.2003-09:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;29.01.2003-12:00;29.01.2003-18:00;6;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;30.01.2003-02:00;30.01.2003-04:00;2;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;02.02.2003-08:00;02.02.2003-09:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;03.02.2003-18:00;03.02.2003-19:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;06.02.2003-02:00;06.02.2003-07:00;5;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;08.02.2003-00:00;08.02.2003-01:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;11.02.2003-21:00;11.02.2003-22:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;15.02.2003-00:00;15.02.2003-01:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;16.02.2003-05:00;16.02.2003-07:00;2;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;16.02.2003-09:00;16.02.2003-10:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;16.02.2003-12:00;16.02.2003-16:00;4;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;17.02.2003-05:00;17.02.2003-06:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;17.02.2003-08:00;17.02.2003-09:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;02.03.2003-00:00;02.03.2003-07:00;7;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;02.03.2003-21:00;02.03.2003-22:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;12.03.2003-09:00;12.03.2003-12:00;3;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;12.03.2003-20:00;12.03.2003-21:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;14.03.2003-21:00;14.03.2003-22:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;15.03.2003-06:00;15.03.2003-07:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;16.03.2003-11:00;16.03.2003-13:00;2;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;18.03.2003-12:00;18.03.2003-13:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;21.03.2003-12:00;21.03.2003-13:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;21.03.2003-15:00;21.03.2003-16:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;22.03.2003-06:00;22.03.2003-07:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;31.03.2003-05:00;31.03.2003-06:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;31.03.2003-08:00;31.03.2003-09:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;02.04.2003-15:00;02.04.2003-16:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;02.04.2003-18:00;02.04.2003-19:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;03.04.2003-09:00;03.04.2003-10:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;04.04.2003-12:00;04.04.2003-13:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;07.04.2003-11:00;07.04.2003-12:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;10.04.2003-02:00;10.04.2003-04:00;2;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;10.04.2003-06:00;10.04.2003-07:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;10.04.2003-15:00;10.04.2003-16:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;17.04.2003-11:00;17.04.2003-12:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;18.04.2003-14:00;18.04.2003-16:00;2;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;19.04.2003-06:00;19.04.2003-07:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;21.04.2003-06:00;21.04.2003-07:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;21.04.2003-17:00;21.04.2003-18:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;21.04.2003-20:00;21.04.2003-21:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;23.04.2003-15:00;23.04.2003-16:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;27.04.2003-05:00;27.04.2003-06:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;02.05.2003-23:00;03.05.2003-00:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;09.05.2003-14:00;09.05.2003-15:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;10.05.2003-23:00;11.05.2003-00:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;12.05.2003-00:00;12.05.2003-03:00;3;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;13.05.2003-08:00;13.05.2003-10:00;2;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;14.05.2003-02:00;14.05.2003-03:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;14.05.2003-14:00;14.05.2003-15:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;14.05.2003-18:00;14.05.2003-19:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;18.05.2003-09:00;18.05.2003-10:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;18.05.2003-20:00;18.05.2003-21:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;19.05.2003-00:00;19.05.2003-01:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;20.05.2003-15:00;20.05.2003-16:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;21.05.2003-00:00;21.05.2003-01:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;21.05.2003-20:00;21.05.2003-21:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;25.05.2003-18:00;25.05.2003-19:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;27.05.2003-08:00;27.05.2003-09:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;27.05.2003-21:00;27.05.2003-22:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;06.06.2003-00:00;06.06.2003-03:00;3;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;12.06.2003-21:00;13.06.2003-00:00;3;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;16.06.2003-20:00;16.06.2003-21:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;18.06.2003-02:00;18.06.2003-03:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;20.06.2003-09:00;20.06.2003-13:00;4;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;21.06.2003-20:00;21.06.2003-21:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;23.06.2003-15:00;23.06.2003-16:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;28.06.2003-21:00;29.06.2003-00:00;3;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;30.06.2003-21:00;30.06.2003-22:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;01.07.2003-23:00;02.07.2003-00:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;03.07.2003-08:00;03.07.2003-09:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;03.07.2003-11:00;03.07.2003-12:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;05.07.2003-05:00;05.07.2003-06:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;05.07.2003-14:00;05.07.2003-15:00;1;;eor;                                                                                                                       
6258;Friedrichshafen-Unterraderach;WRTR;20.07.2003-23:00;21.07.2003-00:00;1;;eor;                                                                                                                       
