Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
2712;Konstanz;RS_IND;16.04.2000-19:00;17.04.2000-04:00;9;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;16.08.2000-09:00;16.08.2000-19:00;10;;eor;                                                                                                                                         
2712;Konstanz;RS_IND;13.09.2000-07:00;13.09.2000-08:00;1;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;04.12.2000-16:00;05.12.2000-03:00;11;;eor;                                                                                                                                         
2712;Konstanz;RS_IND;05.12.2000-23:00;06.12.2000-02:00;3;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;28.01.2001-08:00;28.01.2001-09:00;1;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;19.02.2001-08:00;19.02.2001-09:00;1;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;01.04.2001-00:00;01.04.2001-11:00;11;;eor;                                                                                                                                         
2712;Konstanz;RS_IND;01.04.2001-13:00;01.04.2001-17:00;4;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;01.04.2001-19:00;01.04.2001-23:00;4;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;02.04.2001-01:00;02.04.2001-05:00;4;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;02.04.2001-07:00;02.04.2001-11:00;4;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;02.04.2001-13:00;02.04.2001-17:00;4;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;02.04.2001-19:00;02.04.2001-23:00;4;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;08.05.2001-08:00;08.05.2001-09:00;1;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;09.08.2003-00:00;09.08.2003-09:00;9;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;13.08.2003-09:00;13.08.2003-10:00;1;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;16.03.2004-15:00;16.03.2004-19:00;4;;eor;                                                                                                                                          
